,REEF_ID,YEAR,SUBREGION,REGION_PS,MACROALGAE,HARD_CORAL,PSI,LON,LAT,human100km,human50km,human25km
183,1757,2004,Taiwan_Japan,Indo-Pacific,4.4,69.1,-2.17631,123.73328,24.28189,49900,27491,3247
184,1758,2004,Taiwan_Japan,Indo-Pacific,3.8,45.6,-1.29993,124.17336,24.32214,49270,47997,39959
185,1759,2006,Taiwan_Japan,Indo-Pacific,24.4,33.8,0.10752,139.48361,34.0525,97866,5456,327
186,1760,1998,Taiwan_Japan,Indo-Pacific,11.9,66.3,-1.72267,139.48861,34.09417,146815,5462,160
187,1761,2004,Hawaiian Islands,Indo-Pacific,4.4,39.4,-1.0298,-156.611,20.93517,138182,133266,81563
188,1762,2003,E Indonesia_PNG,Indo-Pacific,0.6,28.1,-0.76785,116.77028,-8.71389,3556327,1578262,277696
189,1763,2002,Taiwan_Japan,Indo-Pacific,20,21.9,0.36485,128.40711,27.03056,459445,32114,6363
190,1764,2000,Taiwan_Japan,Indo-Pacific,24.7,27.2,0.37533,128.40917,27.0275,459445,32114,6363
191,1765,2001,Taiwan_Japan,Indo-Pacific,14.4,30.6,-0.23184,128.40911,27.02758,459445,32114,6363
192,1766,2002,Taiwan_Japan,Indo-Pacific,10.6,9.4,0.4163,128.41128,27.05672,400368,30815,6013
193,1767,2002,South China Sea,Indo-Pacific,15,52.5,-1.04789,114.30417,22.55067,31571082,16099746,5358506
194,1768,2003,E Indonesia_PNG,Indo-Pacific,5.6,53.1,-1.50331,123.70028,-5.50194,220660,89887,37446
195,1770,2000,E Indonesia_PNG,Indo-Pacific,3.1,45,-1.30454,123.69433,-5.49314,222243,89876,54028
196,1773,2000,E Indonesia_PNG,Indo-Pacific,16.3,59.4,-1.25589,123.77764,-5.586,155413,99273,26986
197,1774,2003,E Indonesia_PNG,Indo-Pacific,8.1,38.1,-0.80901,123.70686,-5.45719,219731,89876,56499
198,1777,1997,W Indonesia,Indo-Pacific,13.2,37.7,-0.55764,118.23889,2.20278,120579,8894,2116
199,1778,2004,Hawaiian Islands,Indo-Pacific,0.6,88.8,-3.10915,-157.80833,21.44083,949424,944766,794275
200,1782,2000,E Indonesia_PNG,Indo-Pacific,0.6,36.9,-1.10577,123.76403,-5.77181,141306,61682,25552
201,1784,2003,E Indonesia_PNG,Indo-Pacific,1.9,26.6,-0.65,123.76583,-5.77278,141564,61682,25552
202,1785,2000,E Indonesia_PNG,Indo-Pacific,5,46.3,-1.26656,123.69556,-5.88358,149476,53788,347
203,1788,2004,E Indonesia_PNG,Indo-Pacific,0.6,25.3,-0.65923,150.69164,-2.62808,32661,16128,4630
204,1789,2004,E Indonesia_PNG,Indo-Pacific,18.4,51.9,-0.86561,150.69164,-2.64631,32775,16237,4881
205,1790,2004,E Indonesia_PNG,Indo-Pacific,21.3,42.5,-0.37417,150.76086,-2.64086,34102,14507,5468
206,1794,2005,E. Indian Ocean,Indo-Pacific,0.6,10.6,-0.09201,98.25347,9.13383,657987,97581,23857
207,1796,2001,Taiwan_Japan,Indo-Pacific,6.3,61.9,-1.81248,132.62833,32.77,961555,167298,38787
208,1797,2004,South China Sea,Indo-Pacific,0.9,56.3,-1.83964,99.81667,10.11806,472582,9470,1667
209,1798,2004,South China Sea,Indo-Pacific,4.4,44.1,-1.21083,99.81667,10.09917,470973,11224,1667
210,1799,2004,E Indonesia_PNG,Indo-Pacific,12.8,66.3,-1.67954,122.77889,-4.03611,1017357,435637,111486
211,1800,2004,E Indonesia_PNG,Indo-Pacific,13.8,39.4,-0.59851,122.67778,-4.03889,1074840,478728,295946
212,1801,2004,E Indonesia_PNG,Indo-Pacific,6.3,24.7,-0.37632,122.79581,-4.05897,1012624,437301,70701
213,1803,2006,Western Pacific,Indo-Pacific,1.9,34.4,-0.95172,134.4735,7.28483,21206,20800,17291
214,1804,2003,Western Pacific,Indo-Pacific,8.8,14.4,0.13695,134.52567,7.259,21206,20800,17291
215,1807,2004,Western Pacific,Indo-Pacific,11.3,45,-0.93076,162.90322,5.26878,10270,10270,10270
216,1808,2005,Western Pacific,Indo-Pacific,0.6,38.1,-1.15404,162.92336,5.31997,10270,10270,10270
217,1809,2000,Western Pacific,Indo-Pacific,5,66.9,-2.06308,162.93494,5.28322,10270,10270,10270
218,1810,2002,Western Pacific,Indo-Pacific,25,61,-0.91772,162.94714,5.35325,10270,10270,10270
219,1811,2003,Western Pacific,Indo-Pacific,9.4,48.4,-1.14977,162.95036,5.34497,10270,10270,10270
220,1812,2002,Western Pacific,Indo-Pacific,5.6,62.5,-1.86537,162.97839,5.36956,10270,10270,10270
221,1813,2004,Western Pacific,Indo-Pacific,10.6,52.5,-1.24916,162.99714,5.26536,10270,10270,10270
222,1814,2004,Western Pacific,Indo-Pacific,10,36.3,-0.65034,162.99722,5.25753,10270,10270,10270
223,1815,2004,Western Pacific,Indo-Pacific,26.3,55.6,-0.65103,162.00986,5.37519,374,0,0
224,1817,2004,Western Pacific,Indo-Pacific,26.9,27.5,0.4639,163.02589,5.36525,10270,10270,10270
225,1818,2002,Western Pacific,Indo-Pacific,13.8,46.9,-0.88816,163.03431,5.33917,10270,10270,10270
226,1819,2004,Western Pacific,Indo-Pacific,16.3,62.5,-1.37658,162.02925,5.28561,374,0,0
227,1820,2005,Western Pacific,Indo-Pacific,3.1,63.8,-2.02865,163.03775,5.31478,10270,10270,10270
228,1832,2004,Philippines_Spra,Indo-Pacific,35.9,24.4,1.0015,123.97417,10.25133,5988936,3158035,1603262
229,1833,2006,Philippines_Spra,Indo-Pacific,14.4,13.1,0.444,124.00847,10.28989,6053135,3091938,1669440
230,1835,2004,Philippines_Spra,Indo-Pacific,27.5,22.5,0.68575,124.18222,10.29631,5812437,2713833,530052
231,1838,2005,Philippines_Spra,Indo-Pacific,7.8,10.6,0.23864,124.04883,10.28369,5950319,3066659,1424650
232,1839,2005,Philippines_Spra,Indo-Pacific,8.1,11.3,0.22888,124.05033,10.28458,5962349,3058930,1434728
233,1840,2006,Philippines_Spra,Indo-Pacific,11.6,10.3,0.42323,124.05628,10.28861,6006415,3046731,1368219
234,1841,2005,Philippines_Spra,Indo-Pacific,11.3,1.9,0.7347,124.07333,10.29386,5974517,3012479,1255139
235,1842,2004,Philippines_Spra,Indo-Pacific,13.8,43.1,-0.74334,124.16481,10.29481,5859563,2778374,590218
236,1845,2004,Philippines_Spra,Indo-Pacific,20.6,45.6,-0.52361,124.00444,10.28486,6052680,3101027,1669440
237,1846,2004,Philippines_Spra,Indo-Pacific,12.5,18.1,0.16464,124.14711,10.29756,5855835,2778452,847928
238,1848,2003,Philippines_Spra,Indo-Pacific,1.3,18.8,-0.37704,123.98467,10.2625,5987890,3141221,1675249
239,1849,2005,Philippines_Spra,Indo-Pacific,10,22.5,-0.11933,123.97156,10.24936,5996939,3162993,1624250
240,1850,2004,Philippines_Spra,Indo-Pacific,27.5,8.8,1.21676,124.05769,10.28753,5995551,3038588,1372062
241,1851,2005,Philippines_Spra,Indo-Pacific,16.9,10,0.67969,124.07294,10.29169,5963545,3031870,1261989
242,1852,2002,Philippines_Spra,Indo-Pacific,8.1,21.3,-0.15731,124.04392,10.21417,5789096,3149669,1109710
243,1853,2004,Philippines_Spra,Indo-Pacific,18.8,54.1,-0.93571,123.98497,10.21103,5877119,3209830,1377570
244,1854,2006,Philippines_Spra,Indo-Pacific,16.3,21.3,0.21647,123.99778,10.28228,6051757,3125926,1689450
245,1855,2006,Philippines_Spra,Indo-Pacific,4.4,29.4,-0.64361,124.00278,10.28544,6058285,3101234,1669440
